Day,Period,,,,,,,,,,,,
"Wednesday December 11,2024",1st Period 800 - 1030,MWF 1000 - 1050,M/W 1000 - 1050,MW 1000 - 1115 F 1000 - 1050,MW 1000 - 1050,MW 1030 - 1250,,,,,,,
"Wednesday December 11,2024",2nd Period 1100-1330,MWF 1100 - 1150,M/W/F 1100 - 1150,MW 1100 - 1215,W 1100 - 1345,,,,,,,,
"Wednesday December 11,2024",3rd Period 1400-1630,MWF 1200 - 1250,MF 1200 - 1250,MW 1200 - 1315 F 1200 - 1250,M/W 1200 - 1250,M/W 1200 - 1350,,,,,,,
"Wednesday December 11,2024",4th Period 1700-1930,W 1600 - 1845,MW 1800 - 1915,M/W 1800 - 1945,M 1800 - 1950,M 1800 - 2045,M 1800 - 2100,M/W 1800 - 2150,,,,,
"Wednesday December 11,2024",5th Period 2000-2230,Conflict Resolution Day,,,,,,,,,,,
"Thursday December 12, 2024",1st Period 800 - 1030,TR 1100 - 1215,T 1100 - 1215,TR 1230 - 1320,T/R 1230 - 1320,,,,,,,,
"Thursday December 12, 2024",2nd Period 1100-1330,MWF 1400 - 1450,MW/M 1400 - 1450,MW 1400 - 1515 F 1400 - 1450,F 1400 - 1515,MW 1400 - 1515,F 1400 - 1540,W 1400 - 1545,M 1400 - 1550,MW 1400 - 1620,M/W 1400 - 1645,MW 1430 - 1545,M/W 1430 - 1715
"Thursday December 12, 2024",3rd Period 1400-1630,TR 1400 - 1620,TR 1500 - 1615,R 1500 - 1615,T 1500 - 1715,,,,,,,,
"Thursday December 12, 2024",4th Period 1700-1930,T 1630 - 1915,TR 1730 - 1845,R 1730 - 2020,TR 1800 - 1915,T/R 1800 - 1945,T/R 1800 - 1950,T 1800 - 2145,TR 1800 - 2020,T 1800 - 2045,T/R 1800 - 2100,T/R 1800 - 2150,
"Thursday December 12, 2024",5th Period 2000-2230,CRN 8549,Conflict Resolution Day,,,,,,,,,,
"Friday December 13, 2024",1st Period 800 - 1030,TR 0930 - 1045,T/R 0930 - 1045,TR 1030 - 1250,,,,,,,,,
"Friday December 13, 2024",2nd Period 1100-1330,TR 1330 - 1420,TR 1330 - 1445,T 1330 - 1445,R 1330 - 1615,T/R 1330 - 1720,,,,,,,
"Friday December 13, 2024",3rd Period 1400-1630,MWF 1300 - 1350,MW 1300 - 1350,MWF 1300 - 1350 TR 1330 - 1420,M/W 1300 - 1350,MW 1300 - 1415,MWF 1300 - 1430,F 1300 - 1445,M/W/F 1300 - 1650,,,,
"Friday December 13, 2024",4th Period 1700-1930,R 1630 - 1720,TR 1630 - 1745,TR 1630 - 1820,R 1630 - 1915,TR 1700 - 1820,,,,,,,
"Friday December 13, 2024",5th Period 2000-2230,Conflict Resolution Day,,,,,,,,,,,
"Saturday December 14, 2024",1st Period 800 - 1030,S 0800 - 1150,MWF 0900 - 0950,M/W/F 0900 - 0950,MWF 0900 - 0950 TR 0950 - 1020,W 0900 - 1250,MW 0930 - 1045,,,,,,
"Saturday December 14, 2024",2nd Period 1100-1330,R 1800 - 2045,TR 1930 - 2045,R 2000 - 2115,T/R 2000 - 2145,T/R 2000 - 2150,,,,,,,
"Saturday December 14, 2024",3rd Period 1400-1630,W 1800 - 2045,W 1800 - 2100,M/W 1900 - 2145,MW 1930 - 2045,M/W 1930 - 2215,M/W 2000 - 2150,MW 2100 - 2215,,,,,
"Saturday December 14, 2024",4th Period 1700-1930,MW 1600 - 1650,MW 1600 - 1715,W 1600 - 1745,M 1600 - 1750,MWF 1600 - 1750,M 1600 - 1845,W 1630 - 1720,W 1700 - 1750,MW 1730 - 1820,M 1730 - 2015,W 1730 - 2020,
"Saturday December 14, 2024",5th Period 2000-2230,Conflict Resolution Day,,,,,,,,,,,
"Sunday December 15, 2024",University Reading Day,,,,,,,,,,,,
"Monday December 16, 2024",1st Period 800 - 1030,MWF 0800 - 0850,MW 0800 - 1020,W 0800 - 1045,M/W/F 0800 - 1050,,,,,,,,
"Monday December 16, 2024",2nd Period 1100-1330,TR 0800 - 0915,TR 0800 - 1020,R 0800 - 1045,T/R 0800 - 1150,T 0830 - 1220,,,,,,,
"Monday December 16, 2024",3rd Period 1400-1630,MWF 1500 - 1550,MTWRF 1500 - 1550,M/MW 1500 - 1550,MWF 1500 - 1700,W 1500 - 1745,,,,,,,
"Monday December 16, 2024",4th Period 1700-1930,CRN 8333,Conflict Resolution Day,,,,,,,,,,
"Monday December 16, 2024",5th Period 2000-2230,Conflict Resolution Day,,,,,,,,,,,